iter	MultiClass
0	1.641701535
1	1.449466704
2	1.312939404
3	1.212111405
4	1.121026995
5	1.047972694
6	0.9761023349
7	0.9210861511
8	0.8751697361
9	0.8345513415
10	0.7983273447
11	0.7689401484
12	0.7402274094
13	0.7116732861
14	0.6869629342
15	0.6662166991
16	0.6486900743
17	0.6302664458
18	0.6114687824
19	0.5956872302
20	0.5835323773
21	0.5675410761
22	0.5570028282
23	0.5464129267
24	0.5376624758
25	0.5261146798
26	0.5179027076
27	0.5080812517
28	0.4993329103
29	0.4918809294
30	0.4855840824
31	0.4797351112
32	0.4742373966
33	0.469394531
34	0.4609875275
35	0.4554228785
36	0.4501768762
37	0.44448005
38	0.4407776042
39	0.4368061194
40	0.4341772756
41	0.4302552273
42	0.4265562724
43	0.4225481866
44	0.418440682
45	0.4146427491
46	0.4101776895
47	0.4079510858
48	0.4061583055
49	0.4034878718
50	0.4008651419
51	0.3969285323
52	0.3956281745
53	0.3932849401
54	0.3914443554
55	0.3884771724
56	0.3863801943
57	0.3842367219
58	0.3816212085
59	0.3797986204
60	0.3768282288
61	0.3740463954
62	0.3717935953
63	0.3688976249
64	0.3674986812
65	0.3651556807
66	0.3640810528
67	0.3624039268
68	0.3602424461
69	0.3584358711
70	0.3568290766
71	0.3548315028
72	0.3522112063
73	0.3503495375
74	0.3484512033
75	0.3467153284
76	0.3448635342
77	0.3434752252
78	0.3423261276
79	0.3413766274
80	0.3400981233
81	0.3390202732
82	0.3381483339
83	0.3368435302
84	0.335264316
85	0.3341044369
86	0.3325525271
87	0.3315913139
88	0.3304539343
89	0.3296423495
90	0.3287876875
91	0.3272515408
92	0.3262904858
93	0.3250412656
94	0.3231935834
95	0.3222829549
96	0.3218200501
97	0.3205020236
98	0.3193169348
99	0.3186765348
100	0.3177449768
101	0.3168796438
102	0.3156996041
103	0.3152210285
104	0.3147151535
105	0.3138539082
106	0.3126555807
107	0.3118696331
108	0.3111357483
109	0.3102019248
110	0.3091092896
111	0.308176146
112	0.3069752393
113	0.3063578038
114	0.3059756923
115	0.3048925211
116	0.3041478986
117	0.3034563159
118	0.3024072327
119	0.3016956676
