iter	MultiClass
0	1.919626772
1	1.892169055
2	1.86610927
3	1.840340031
4	1.814934492
5	1.791156362
6	1.768032299
7	1.746473819
8	1.724490729
9	1.703761196
10	1.684599064
11	1.664885993
12	1.644849127
13	1.626122341
14	1.60986322
15	1.59289218
16	1.575950662
17	1.557686978
18	1.541424115
19	1.526378157
20	1.511654486
21	1.496071537
22	1.482210103
23	1.468926049
24	1.454389705
25	1.440815168
26	1.426643905
27	1.412861725
28	1.400381475
29	1.386814666
30	1.373348226
31	1.360910623
32	1.348766169
33	1.336731186
34	1.325252558
35	1.313078802
36	1.302396261
37	1.291300037
38	1.280359795
39	1.269280926
40	1.259257189
41	1.249916393
42	1.239076894
43	1.229064996
44	1.219607753
45	1.210021753
46	1.200359007
47	1.191542858
48	1.182949436
49	1.174104221
50	1.164749073
51	1.156365877
52	1.147643833
53	1.138876911
54	1.130228543
55	1.122128227
56	1.114166954
57	1.106026606
58	1.097935959
59	1.090880032
60	1.083990572
61	1.077098045
62	1.070046079
63	1.06266557
64	1.055423443
65	1.04793636
66	1.041483057
67	1.034719238
68	1.02818112
69	1.021935392
70	1.015272154
71	1.008310502
72	1.002271119
73	0.995820339
74	0.9896399097
75	0.983189087
76	0.9767555677
77	0.9704370932
78	0.9649019691
79	0.9586412154
80	0.9523471758
81	0.9463423784
82	0.9407564574
83	0.9354657733
84	0.9297080726
85	0.9241344054
86	0.9189391201
87	0.9133500698
88	0.9081912472
89	0.9031287173
90	0.8978489429
91	0.8923883656
92	0.8874488102
93	0.8822501738
94	0.8771198377
95	0.8722622122
96	0.8674990666
97	0.8625787813
98	0.8577182981
99	0.8528766181
100	0.8483558714
101	0.8441758619
102	0.8393886243
103	0.8348534151
104	0.8301091044
105	0.8260868087
106	0.8218154681
107	0.8173127376
108	0.813313954
109	0.8087970391
110	0.8047367911
111	0.8010487201
112	0.7967233676
113	0.7929408234
114	0.7892850426
115	0.7850549936
116	0.7807242266
117	0.7769339773
118	0.7730936101
119	0.7696827776
120	0.7660234475
121	0.7625710237
122	0.759004233
123	0.7555205302
124	0.7518829233
125	0.7483555134
126	0.7450048847
127	0.7414558137
128	0.7379316754
129	0.7343594541
130	0.731053706
131	0.7277883707
132	0.7244283939
133	0.7211581374
134	0.7177002941
135	0.7142009738
136	0.711267936
137	0.7084441724
138	0.7051786981
139	0.7022695302
140	0.6991527126
141	0.6959447012
142	0.6930804261
143	0.6902763435
144	0.6872557268
145	0.6842990885
146	0.6814292703
147	0.6787454182
148	0.6758423083
149	0.6731082413
150	0.6702276602
151	0.667574894
152	0.6645349525
153	0.6619239911
154	0.6591006266
155	0.6563689657
156	0.6538521185
157	0.6512201704
158	0.6485994757
159	0.6460978571
160	0.6438193601
161	0.6414826727
162	0.6389627444
163	0.6366110948
164	0.6340839325
165	0.6315539274
166	0.6291754349
167	0.6267174821
168	0.6243702414
169	0.6219474763
170	0.6197290043
171	0.617671755
172	0.6151711914
173	0.6130268962
174	0.61072156
175	0.6085207303
176	0.6064348783
177	0.6042249793
178	0.6019682231
179	0.5997873248
180	0.5976555992
181	0.5956834846
182	0.5932846107
183	0.5913624717
184	0.5892076866
185	0.5873529641
186	0.5853001685
187	0.5832290279
188	0.5814053968
189	0.5793412693
190	0.5773920413
191	0.5754906978
192	0.5735730125
193	0.5714660283
194	0.5696798355
195	0.5678204267
196	0.5660480484
197	0.5642394528
198	0.5625197053
199	0.5606615289
200	0.5587920517
201	0.5568662051
202	0.5551877462
203	0.5532837915
204	0.5516486578
205	0.5497529551
206	0.5479661615
207	0.5461225399
208	0.5444781094
209	0.5426675998
210	0.5410116249
211	0.5393498152
212	0.5376550862
213	0.5361210291
214	0.5344074382
215	0.5327947744
216	0.5313573937
217	0.5299159175
218	0.5283235839
219	0.5267185238
220	0.5251362064
221	0.5235050689
222	0.5220008459
223	0.5205468113
224	0.5191273818
225	0.5177980043
226	0.516432208
227	0.5149282035
228	0.5136548891
229	0.5121855074
230	0.5107288361
231	0.509314464
232	0.5078738113
233	0.506370414
234	0.5049109577
235	0.5035459643
236	0.5022321251
237	0.5009109113
238	0.4995780943
239	0.4983338064
240	0.4969363724
241	0.4956538314
242	0.4943740417
243	0.4930419369
244	0.4915687197
245	0.4901752363
246	0.488776992
247	0.4875078665
248	0.4864015348
249	0.4852556527
250	0.4839632685
251	0.4827050094
252	0.4815629752
253	0.4803701453
254	0.4791153068
255	0.4779721066
256	0.4767859352
257	0.4756450226
258	0.4746260561
259	0.4734587689
260	0.4723801545
261	0.4712405884
262	0.4701626702
263	0.4691147438
264	0.4679125507
265	0.4668880406
266	0.4658651485
267	0.464802761
268	0.463644094
269	0.4626428929
270	0.4615176284
271	0.4604213741
272	0.4593635017
273	0.4584029863
274	0.457504036
275	0.4565374741
276	0.4555503279
277	0.4545142941
278	0.453535239
279	0.4525174114
280	0.451465772
281	0.45040795
282	0.4495105801
283	0.4485777559
284	0.4476667355
285	0.4466225204
286	0.4456872607
287	0.4447212354
288	0.443880127
289	0.4430434572
290	0.4420864192
291	0.4411634292
292	0.4402477866
293	0.4393486312
294	0.4384199052
295	0.4375178751
296	0.4366846053
297	0.4358428249
298	0.4349367694
299	0.4340678457
300	0.4332753124
301	0.4324220274
302	0.4315702176
303	0.4307935348
304	0.4300215431
305	0.4292360243
306	0.4283547489
307	0.4275911387
308	0.426698935
309	0.425854649
310	0.4251272272
311	0.4242725316
312	0.4235127219
313	0.4227300927
314	0.4220464996
315	0.4211935747
316	0.4203652013
317	0.4195979766
318	0.41886866
319	0.4181884459
320	0.4175099409
321	0.4167642661
322	0.416071282
323	0.4153727359
324	0.4146221305
325	0.4139303454
326	0.4132310315
327	0.4126155699
328	0.4119263781
329	0.4111199416
330	0.4103515393
331	0.4096930985
332	0.4090445437
333	0.4083503401
334	0.4075988972
335	0.4068890181
336	0.4061289941
337	0.4054693306
338	0.4048153893
339	0.4041519934
340	0.4034621378
341	0.4027429566
342	0.4020225838
343	0.4013926067
344	0.4007767351
345	0.4001482904
346	0.3995789296
347	0.3989950428
348	0.3983078321
349	0.3975788864
350	0.3969469537
351	0.3963919166
352	0.3957330126
353	0.3950301584
354	0.3944015578
355	0.3937209362
356	0.3930587734
357	0.3925585471
358	0.3919146321
359	0.3913979644
360	0.3909084949
361	0.3902848907
362	0.3896982716
363	0.3891480178
364	0.3885832643
365	0.3880295329
366	0.3874873865
367	0.3869379757
368	0.3863902585
369	0.3858568281
370	0.3853602066
371	0.3848336069
372	0.3841946856
373	0.383673552
374	0.3830718488
375	0.3824868226
376	0.3819809082
377	0.3814172128
378	0.3809643567
379	0.3803733995
380	0.3798584303
381	0.3792853799
382	0.3787723882
383	0.3782693466
384	0.3777508298
385	0.3772615975
386	0.3766650089
387	0.3761372543
388	0.3757076853
389	0.3751982932
390	0.3747075352
391	0.374253383
392	0.3737183885
393	0.373231943
394	0.3727074495
395	0.3722717104
396	0.3718004502
397	0.3713368166
398	0.3707471288
399	0.3702879111
400	0.3698703846
401	0.3694055978
402	0.3689270972
403	0.3684854145
404	0.3679654823
405	0.3675429111
406	0.3671164758
407	0.3667032378
408	0.3662541164
409	0.36583004
410	0.3653971613
411	0.3649450844
412	0.3645357497
413	0.3640569429
414	0.3636355009
415	0.3631764133
416	0.3627273812
417	0.3622902966
418	0.3618366814
419	0.3614723501
420	0.3611081834
421	0.3606793452
422	0.3602408528
423	0.3599055807
424	0.3595671269
425	0.359140854
426	0.3587083582
427	0.3583625705
428	0.3579849916
429	0.3576408559
430	0.3572188424
431	0.3568864502
432	0.3564622718
433	0.356026681
434	0.3557081467
435	0.355309848
436	0.3549476744
437	0.3545725671
438	0.3542407748
439	0.3538717772
440	0.3535051072
441	0.3531101646
442	0.3527051162
443	0.3523420255
444	0.3519867042
445	0.351586087
446	0.351227235
447	0.3507933427
448	0.3504759492
449	0.3501413673
450	0.3497533548
451	0.3494313602
452	0.3490048538
453	0.3485849808
454	0.3482422088
455	0.3478988084
456	0.3475660313
457	0.3472809839
458	0.3468840706
459	0.3465174812
460	0.3462391691
461	0.3458887061
462	0.3454989064
463	0.3452088465
464	0.3448132314
465	0.3444819753
466	0.3441309596
467	0.3437987904
468	0.3434587423
469	0.3431294982
470	0.3428169972
471	0.3424649957
472	0.3421223251
473	0.3417934819
474	0.3414721475
475	0.3411563956
476	0.3408412214
477	0.3404703793
478	0.3402364597
479	0.3398993033
480	0.3395915254
481	0.3392438395
482	0.3389475643
483	0.3385694993
484	0.338233766
485	0.3378904282
486	0.3376136268
487	0.337335959
488	0.3370366608
489	0.3367480539
490	0.3364518938
491	0.3362095443
492	0.3358840625
493	0.3354672028
494	0.3352096002
495	0.3349149962
496	0.3346640316
497	0.334380471
498	0.3340667847
499	0.3338219505
500	0.3335212025
501	0.3332587695
502	0.3329795972
503	0.3327028317
504	0.3324372842
505	0.332175132
506	0.3318618682
507	0.33163959
508	0.3313362566
509	0.3310245634
510	0.3306852328
511	0.3304192607
512	0.3301569266
513	0.3299031367
514	0.3296635021
515	0.3294325785
516	0.3291616087
517	0.3289032775
518	0.3286137971
519	0.3283769661
520	0.3281513451
521	0.3279117668
522	0.3276209011
523	0.3273381807
524	0.3270853295
525	0.3268116298
526	0.3265680093
527	0.3263273521
528	0.3260674077
529	0.3257929325
530	0.3255554476
531	0.3252831192
532	0.3250353723
533	0.3247763408
534	0.3245021114
535	0.3242052028
536	0.3239028258
537	0.3236814353
538	0.3234569505
539	0.3231770545
540	0.3229189701
541	0.3226777086
542	0.3224120866
543	0.3221565326
544	0.32192763
545	0.3216178662
546	0.3213813371
547	0.3211666934
548	0.3209245843
549	0.3206591642
550	0.3204206917
551	0.3201464652
552	0.3199129397
553	0.3196581513
554	0.3193941411
555	0.3191237098
556	0.3188770138
557	0.3186386567
558	0.3184591925
559	0.3181318813
560	0.3178808891
561	0.3176435169
562	0.3173933711
563	0.3171314481
564	0.3168837726
565	0.3166327978
566	0.3164033163
567	0.3161731723
568	0.315973578
569	0.3157162146
570	0.315480096
571	0.3151848251
572	0.3149739015
573	0.3147381914
574	0.3145263866
575	0.3142936447
576	0.3140860638
577	0.3138319835
578	0.3136415214
579	0.3134133476
580	0.3131950407
581	0.3129405078
582	0.3126933043
583	0.3124674545
584	0.3122327294
585	0.312028076
586	0.3118428341
587	0.3116260095
588	0.3114155728
589	0.3111602296
590	0.3109116489
591	0.3107071042
592	0.3105082838
593	0.310280555
594	0.3101073692
595	0.309883213
596	0.3097215452
597	0.3095004974
598	0.3092863763
599	0.3090703134
600	0.3088604645
601	0.308661306
602	0.3084486596
603	0.3082346719
604	0.308020134
605	0.3077859444
606	0.3075562917
607	0.3072739203
608	0.3070648127
609	0.3068635196
610	0.306678482
611	0.3064759828
612	0.3062788125
613	0.3060702518
614	0.3058992559
615	0.3056803798
616	0.3054762104
617	0.3052876174
618	0.3050662377
619	0.3049079661
620	0.3046726451
621	0.3044825798
622	0.3042459094
623	0.3040844744
624	0.3038879942
625	0.303701658
626	0.3034997972
627	0.3032749041
628	0.3030660931
629	0.3028718817
630	0.3026591649
631	0.3024323014
632	0.3022190874
633	0.302021577
634	0.3018073103
635	0.3015926402
636	0.3014190124
637	0.3012384406
638	0.3010436707
639	0.3008425883
640	0.3007035337
641	0.3005475828
642	0.3003696046
643	0.3001551146
644	0.2999767795
645	0.299785627
646	0.2995921634
647	0.2994398472
648	0.2992212581
649	0.2990502038
650	0.2988900302
651	0.2986776018
652	0.2985499441
653	0.2983595757
654	0.2982055365
655	0.2980357651
656	0.297844032
657	0.2976325783
658	0.297455351
659	0.2972878203
660	0.2970890041
661	0.2968969225
662	0.2967548125
663	0.2965873048
664	0.2964324793
665	0.2962390936
666	0.2959879317
667	0.295831404
668	0.2956447598
669	0.2954670444
670	0.2952883549
671	0.2950977981
672	0.2949354517
673	0.2947491021
674	0.2945508897
675	0.2943711412
676	0.2942185762
677	0.294049855
678	0.2938909963
679	0.2936885295
680	0.2934981417
681	0.2933045597
682	0.2931205851
683	0.2929510199
684	0.2927818339
685	0.2926206501
686	0.2924383605
687	0.2922491572
688	0.292079924
689	0.2919578765
690	0.291775039
691	0.2916137343
692	0.291454376
693	0.2912868249
694	0.2911213075
695	0.2909584621
696	0.2907543899
697	0.2905938851
698	0.2904643974
699	0.2903029285
700	0.2901414594
701	0.289979779
702	0.2898277615
703	0.2896711586
704	0.2895107225
705	0.2893382305
706	0.28916599
707	0.2889836171
708	0.2888145721
709	0.2886348874
710	0.2884728063
711	0.2883306396
712	0.2881814043
713	0.2880221924
714	0.2878852488
715	0.2877404534
716	0.2875693507
717	0.2874280427
718	0.2872261055
719	0.2871236476
720	0.286979827
721	0.2868216252
722	0.2866786909
723	0.2865505354
724	0.2863717349
725	0.2862257503
726	0.286048197
727	0.285905431
728	0.2857441388
729	0.2855853326
730	0.2854212517
731	0.2852655288
732	0.2852212776
733	0.2850665383
734	0.2849429641
735	0.2847996942
736	0.2846863091
737	0.2845214832
738	0.2843718848
739	0.2842114592
740	0.2840335406
741	0.2838495992
742	0.2836960228
743	0.2835344142
744	0.2833748452
745	0.2832018506
746	0.2830440477
747	0.2829293538
748	0.2827863846
749	0.282626138
750	0.2824704905
751	0.2823174936
752	0.2821791282
753	0.2820347215
754	0.2818811513
755	0.2817538272
756	0.281596023
757	0.2814446491
758	0.2812830356
759	0.2811389724
760	0.2809387668
761	0.2807897012
762	0.2806661857
763	0.2805344141
764	0.2804178239
765	0.2802371896
766	0.2801386955
767	0.2799545102
768	0.2797994057
769	0.2796687158
770	0.2795181452
771	0.2793660499
772	0.2791925496
773	0.2790398075
774	0.2788951942
775	0.2787486932
776	0.2785940129
777	0.278483841
778	0.278314533
779	0.2781770367
780	0.278013348
781	0.2778895849
782	0.2777595682
783	0.2776375521
784	0.2774575155
785	0.2773424415
786	0.2771832612
787	0.2770281048
788	0.2769082298
789	0.2767915328
790	0.2766546985
791	0.2764925424
